title,brand,model,type,year,transmisi,qty,avg_price,low_price,mid_price,new_price
Toyota Kijang Innova G Automatic 2020,Toyota,Kijang Innova,G,2020,Automatic,154," 269,454,545 "," 200,000,000 "," 234,727,273 ",355050000
Nissan Livina VL Automatic 2022,Nissan,Livina,VL,2022,Automatic,45," 207,911,111 "," 189,000,000 "," 198,455,556 ",308800000
Honda Brio Satya E Automatic 2022,Honda,Brio,Satya E,2022,Automatic,126," 157,300,397 "," 140,000,000 "," 148,650,198 ",189700000
Honda HR-V Prestige Automatic 2015,Honda,HR-V,Prestige,2015,Automatic,45," 216,533,333 "," 185,000,000 "," 200,766,667 "," 355,000,000 "
Hyundai Creta Prime Automatic 2022,Hyundai,Creta,Prime,2022,Automatic,223," 271,935,426 "," 220,000,000 "," 245,967,713 ",399000000
Mazda CX-5 Elite Automatic 2022,Mazda,CX-5,Elite,2022,Automatic,48," 403,979,167 "," 329,000,000 "," 366,489,583 ",597700000
Honda HR-V Turbo RS Automatic 2022,Honda,HR-V,Turbo RS,2022,Automatic,83," 362,650,602 "," 332,000,000 "," 347,325,301 ",513900000
Hyundai IONIQ 5 Signature Long Range Automatic 2023,Hyundai,IONIQ 5,Signature Long Range,2023,Automatic,83," 502,722,892 "," 429,000,000 "," 465,861,446 ",859000000
Honda HR-V E Automatic 2015,Honda,HR-V,E,2015,Automatic,52," 182,875,000 "," 158,000,000 "," 170,437,500 "," 294,000,000 "
Honda CR-V Turbo Prestige Automatic 2018,Honda,CR-V,Turbo Prestige,2018,Automatic,98," 325,717,347 "," 268,000,000 "," 296,858,673 ",516000000
Toyota Fortuner VRZ 4X2 Automatic 2016,Toyota,Fortuner,VRZ 4X2,2016,Automatic,49," 327,897,959 "," 200,000,000 "," 263,948,980 "," 494,000,000 "
Toyota Avanza G Automatic 2023,Toyota,Avanza,G,2023,Automatic,78," 210,384,615 "," 175,000,000 "," 192,692,308 ",262200000
Mercedes-Benz GLC200 AMG Automatic 2018,Mercedes-Benz,GLC200,AMG,2018,Automatic,56," 516,028,571 "," 425,000,000 "," 470,514,286 ",
Mercedes-Benz C300 AMG Line Automatic 2019,Mercedes-Benz,C300,AMG Line,2019,Automatic,94," 606,680,851 "," 448,000,000 "," 527,340,426 ",945000000
Toyota Rush GR Sport Automatic 2022,Toyota,Rush,GR Sport,2022,Automatic,57," 227,131,579 "," 205,000,000 "," 216,065,790 ",291500000
Honda City RS Automatic 2022,Honda,City,RS,2022,Automatic,93," 230,725,806 "," 202,000,000 "," 216,362,903 ",365400000
Toyota Alphard G Automatic 2016,Toyota,Alphard,G,2016,Automatic,55," 561,909,091 "," 468,000,000 "," 514,954,545 "," 954,500,000 "
BMW 530i Luxury Automatic 2018,BMW,530i,Luxury,2018,Automatic,42," 529,333,333 "," 415,000,000 "," 472,166,667 ",1149000000
Honda BR-V Prestige Honda Sensing Automatic 2023,Honda,BR-V,Prestige Honda Sensing,2023,Automatic,50," 244,580,000 "," 155,000,000 "," 199,790,000 ",355000000
Honda City RS Automatic 2021,Honda,City,RS,2021,Automatic,79," 215,822,785 "," 175,000,000 "," 195,411,392 ",352600000
Mercedes-Benz C300 AMG Line Automatic 2023,Mercedes-Benz,C300,AMG Line,2023,Automatic,56," 873,321,429 "," 745,000,000 "," 809,160,714 ",1180000000
Hyundai Stargazer Prime Automatic 2023,Hyundai,Stargazer,Prime,2023,Automatic,124," 219,911,290 "," 188,000,000 "," 203,955,645 ",307100000
Toyota Kijang Innova V Automatic 2022,Toyota,Kijang Innova,V,2022,Automatic,48," 380,531,250 "," 285,500,000 "," 333,015,625 ",445400000
Mercedes-Benz C200 AMG Line Automatic 2018,Mercedes-Benz,C200,AMG Line,2018,Automatic,53," 411,830,189 "," 342,000,000 "," 376,915,094 ",
Toyota Alphard G Automatic 2018,Toyota,Alphard,G,2018,Automatic,132," 690,200,758 "," 529,000,000 "," 609,600,379 ",1116350000
Toyota Voxy (Premium Color) Automatic 2023,Toyota,Voxy,(Premium Color),2023,Automatic,48," 464,062,500 "," 390,000,000 "," 427,031,250 ",595700000
